test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
1958,1.1368476659905409,0.7250339763842627,1.5340051877410803,2,141,0.0
1959,4.85667251975417,4.235294117647058,5.235294117647058,1,134,0.0
1988,0.3091315723983862,0.174022016813425,1.040054746889607,2,265,0.0
1989,1.51221361338634,1.0166300568097877,1.9369887662768281,2,1342,0.0
1990,1.4279661016949152,0.8333333333333335,1.8333333333333335,1,118,0.0
1991,0.6792485858816064,0.09316715226070915,1.0931671522607094,1,1229,0.0
1992,0.26230345855065795,0.07700188842031071,0.6487578184176087,2,401,0.0
1997,10.913886213753475,10.55600153181524,11.208348094485403,2,55,0.0
2002,7.0363459360215455,6.5468168427858275,7.328186337417125,2,132,0.0
2013,2.0774453236549486,1.5391986062717775,2.5391986062717775,1,1369,0.0
2029,0.8983876517294324,0.5148327503381275,1.2698379570215361,2,431,0.0
2036,7.297848990342406,6.676470588235295,7.676470588235295,1,134,0.0
2037,6.510497293784223,5.8742683593556535,6.732950917358992,2,52,0.0
2043,4.415386492454163,3.8571159886630335,4.781719748165926,2,8,0.0
2044,1.801030608111022,1.2149491744901246,2.2149491744901244,1,1229,0.0
2047,6.530446702483434,5.994366509900735,6.7251066211969475,4,48,0.0
2048,8.768437225636523,8.147058823529411,9.147058823529411,1,134,0.0
2052,0.8003800605597787,0.4613850874004679,1.1307431584572916,2,21,0.0
2053,7.797848990342406,7.176470588235296,8.176470588235295,1,134,0.0
2055,0.7303057027912788,0.5555121510822243,0.9013878188659974,2,8,0.0
2057,0.9835858585858586,0.2916666666666667,1.2916666666666667,1,99,0.0
2058,2.1462606546654017,1.6080139372822306,2.60801393728223,1,1369,0.0
2060,17.646900199910494,17.1890884270259,18.02075580845667,2,39,0.0
2069,0.5905468845039583,0.004465450883061094,1.0044654508830613,1,1229,0.0
2073,1.389703934493914,1.1970195832665267,1.790729682607562,2,40,0.0
2075,7.151494659716956,6.595156840439811,7.490984164313794,2,8,0.0
2077,3.5072254073237983,3.0835041832183916,3.855278678290649,2,372,0.0
2082,1.3724105461393603,0.7777777777777779,1.7777777777777775,1,118,0.0
2086,6.145343742972157,5.694947974514995,6.524842800679077,2,5,0.0
2087,2.233870547064913,1.647789113444016,2.6477891134440164,1,1229,0.0
2088,5.312670692738347,4.76994169251575,5.755635824997967,2,8,0.0
2095,6.024139280691332,5.842658152886938,6.55194969313027,2,61,0.0
2097,4.3334987013814485,3.775346642905955,4.903175118151092,2,7,0.0
2100,18.178180388896124,17.720413633207986,18.552008849200526,2,39,0.0
2104,1.860502134433109,1.3137254901960782,2.313725490196078,1,542,0.0
2106,0.1117247448320302,0.003984269895477594,0.8028562558211737,1,2427,0.0
2108,1.6083236876126876,1.0222422539917904,2.0222422539917906,1,1229,0.0
2114,8.59196663740123,7.970588235294118,8.970588235294118,1,134,0.0
2117,2.2685826386135224,1.682501204992625,2.682501204992625,1,1229,0.0
2118,5.460328261817484,4.917681745497569,5.90252858951145,2,8,0.0
2119,1.7907450788135144,1.2046636451926171,2.204663645192617,1,1229,0.0
2123,3.5179876871868005,3.0968921495979607,3.8666161807276818,2,372,0.0
2126,1.6501883239171373,1.0555555555555556,2.055555555555556,1,118,0.0
2129,0.3563912926738046,0.23351835554445788,1.0452332635848667,2,265,0.0
2138,1.7864400495826573,1.2003586159617603,2.2003586159617603,1,1229,0.0
2140,2.0129853933413595,1.4747386759581886,2.4747386759581884,1,1369,0.0
2168,1.9703024665120912,1.4320557491289205,2.4320557491289203,1,1369,0.0
2170,1.5355848327791997,0.9495033991583022,1.9495033991583022,1,1229,0.0
2173,0.6673377727774473,0.2406702513856667,0.8515292594866432,2,50,0.0
19,0.1619318283085758,0.0021206130067230777,0.5363812578737697,2,525,0.0
20,4.040426587301588,3.6190476190476195,4.6190476190476195,1,192,0.0
25,0.5066290493362062,0.011523687580025387,0.941101152368758,1,705,0.0
30,6.003731343283582,5.38235294117647,6.382352941176471,1,134,0.0
44,2.9451884920634925,2.523809523809524,3.5238095238095246,1,192,0.0
60,3.4165450512935487,3.0717130839474924,3.6913171152752,2,108,0.0
80,11.504781510718617,11.075366620266907,12.021816356330362,2,65,0.0
